backbone,model_name,cell_id,order_name,task_sequence,seed,method,budget,status,total_wall_time_seconds,resumed
BERT-base,bert-base-uncased,cell_020_O1_seed227_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,227,hard_example_replay,256,PASS,21.481510877609253,False
BERT-base,bert-base-uncased,cell_021_O1_seed349_no_replay_b0,O1,sst2/mrpc/rte/ag_news,349,no_replay,0,PASS,12.043506145477295,False
BERT-base,bert-base-uncased,cell_022_O1_seed349_random_replay_b16,O1,sst2/mrpc/rte/ag_news,349,random_replay,16,PASS,12.31853699684143,False
BERT-base,bert-base-uncased,cell_023_O1_seed349_random_replay_b64,O1,sst2/mrpc/rte/ag_news,349,random_replay,64,PASS,16.19244933128357,False
BERT-base,bert-base-uncased,cell_024_O1_seed349_random_replay_b256,O1,sst2/mrpc/rte/ag_news,349,random_replay,256,PASS,16.035533905029297,False
BERT-base,bert-base-uncased,cell_025_O1_seed349_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,349,class_balanced_replay,16,PASS,15.180067300796509,False
BERT-base,bert-base-uncased,cell_026_O1_seed349_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,349,class_balanced_replay,64,PASS,13.916361808776855,False
BERT-base,bert-base-uncased,cell_027_O1_seed349_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,349,class_balanced_replay,256,PASS,19.916613578796387,False
BERT-base,bert-base-uncased,cell_028_O1_seed349_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,349,hard_example_replay,16,PASS,14.902588844299316,False
BERT-base,bert-base-uncased,cell_029_O1_seed349_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,349,hard_example_replay,64,PASS,18.60611653327942,False
BERT-base,bert-base-uncased,cell_030_O1_seed349_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,349,hard_example_replay,256,PASS,18.535156726837158,False
BERT-base,bert-base-uncased,cell_031_O1_seed461_no_replay_b0,O1,sst2/mrpc/rte/ag_news,461,no_replay,0,PASS,15.031750679016113,False
BERT-base,bert-base-uncased,cell_032_O1_seed461_random_replay_b16,O1,sst2/mrpc/rte/ag_news,461,random_replay,16,PASS,12.282869577407837,False
BERT-base,bert-base-uncased,cell_033_O1_seed461_random_replay_b64,O1,sst2/mrpc/rte/ag_news,461,random_replay,64,PASS,13.574231386184692,False
BERT-base,bert-base-uncased,cell_034_O1_seed461_random_replay_b256,O1,sst2/mrpc/rte/ag_news,461,random_replay,256,PASS,21.83373737335205,False
BERT-base,bert-base-uncased,cell_035_O1_seed461_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,16,PASS,12.660436630249023,False
BERT-base,bert-base-uncased,cell_036_O1_seed461_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,64,PASS,16.108741521835327,False
BERT-base,bert-base-uncased,cell_037_O1_seed461_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,256,PASS,16.01744532585144,False
BERT-base,bert-base-uncased,cell_038_O1_seed461_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,16,PASS,17.748691082000732,False
BERT-base,bert-base-uncased,cell_039_O1_seed461_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,64,PASS,15.596237421035767,False
BERT-base,bert-base-uncased,cell_040_O1_seed461_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,256,PASS,22.587573766708374,False
